displayName,symbol,contract
DBXen,DBX,0x47DD60FA40A050c0677dE19921Eb4cc512947729
PulseXen,PXN,0x0d86EB9f43C57f6FF3BC9E23D8F9d82503f0e84b
LiquidXen,LXN,0x0d86EB9f43C57f6FF3BC9E23D8F9d82503f0e84b
HyperXen,HXN,0x0B048D6e01a6b9002C291060bF2179938fd8264c 
