displayName,symbol,contract
DBXen,DBX,0x47DD60FA40A050c0677dE19921Eb4cc512947729
DBXen Network,DBXN,0x47DD60FA40A050c0677dE19921Eb4cc512947729
DBXen Shares,DBXS,0x47DD60FA40A050c0677dE19921Eb4cc512947729 
